candidate,state,district,office,year,party,stage,sel_date,n_snapshots_available,n_pages,page_types,urlkey,n_char,n_words
John Reeves Raese,WV,0.0,senate,2014,R,2,20141222004154,5,39,biography;homepage;issues;news;other,https://raeseforsenate.org,288576,42469
David Christopher Holcomb,NE,0.0,senate,2014,D,2,20140220233325,61,3,biography;homepage;other,https://senatordavidchristopherholcomb.com,3303,359
Chadwick J Taylor,KS,0.0,senate,2014,D,2,20140905225440,34,20,action;biography;homepage;news;other,https://taylorforussenate.com,50601,6819
Danny Tarkanian,NV,0.0,senate,2014,R,2,20141216214624,5,7,homepage;other,http://www.dannytarkanian.com,26429,3918
Barbara Boxer,CA,0.0,senate,2014,D,2,20140521215713,13,3,homepage;issues,http://www.barbaraboxer.com,3331,391
Richard L Mountjoy,CA,0.0,senate,2014,R,2,20140102181155,3,1,homepage,https://www.mountjoyforsenate.com,2121,17
P Tom Sullivan,ID,0.0,senate,2014,D,2,20141218063024,2,5,homepage;other,https://tomsullivanforsenate.com,5763,49
W Todd Akin,MO,0.0,senate,2014,R,2,20140704181113,4,2,homepage;news,https://www.akin.org,252722,14430
George S Lemieux,FL,0.0,senate,2014,R,2,20140517114134,6,1,homepage,https://www.georgeforflorida.com,1133,157
Gwendolyn Charidy Diakos,NJ,0.0,senate,2014,D,2,20140517081014,3,6,homepage;other,https://www.diakos2012.com,3330,86
Corrogan R Vaughn,MD,0.0,senate,2014,R,2,20140923045202,8,11,homepage;news;other,https://www.vaughn4america.com,10136,240
Patrick Hughes,IL,0.0,senate,2014,R,2,20140110035723,1,9,homepage;other,https://www.patrickhughesforsenate.com,14485,190
Muriel Wayne Ables,LA,0.0,senate,2014,D,2,20141104181548,2,9,homepage;other,http://www.wayneables.com,30688,4616
Roland W Burris,IL,0.0,senate,2014,D,2,20140107072009,2,9,homepage;news;other,https://www.supportburris.com,51039,8249
Mark Robert Warner,VA,0.0,senate,2014,D,2,20140905223950,61,10,action;homepage;issues;other,https://markwarnerva.com/,42396,5794
Jeff Sessions,AL,0.0,senate,2014,R,2,20141104181734,29,27,homepage;issues;news;other,https://www.jeffsessions.com,106572,14474
Samuel Robinson Kephart,SD,0.0,senate,2014,R,2,20140105020227,1,1,homepage,https://www.samkephart.com,109,8
Marion Michael Rounds,SD,0.0,senate,2014,R,2,20140115180229,100,22,action;biography;homepage;other,https://www.roundsforsenate.com,93262,13927
Shenna Bellows,ME,0.0,senate,2014,D,2,20141108141051,17,6,action;homepage;issues;other,https://www.bellowsforsenate.com,50025,7386
Elizabeth Emken,CA,0.0,senate,2014,R,2,20140222121754,24,19,homepage;other,https://www.emken2012.com,82384,11843
Ted Alexander,NC,0.0,senate,2014,R,2,20140417234102,21,23,action;biography;homepage;issues;news;other,https://www.tedforsenate.com,66333,8207
Debbie Stabenow,MI,0.0,senate,2014,D,2,20141217015344,3,1,homepage,https://www.debbiestabenow.com,1284,157
Susan Marie Cundiff,MT,0.0,senate,2014,R,2,20140516015223,4,7,action;homepage;news;other,https://susanforussenate.com,16599,2467
Martin Trevor Heinrich,NM,0.0,senate,2014,D,2,20141228081915,8,1,homepage,https://martinheinrich.com,79,8
Mark Steven Kirk,IL,0.0,senate,2014,R,2,20141224204735,18,1,homepage,https://www.kirkforsenate.com,190,26
Erick Matthew I Bennett,ME,0.0,senate,2014,R,2,20141024225912,34,2,homepage;other,https://erickbennett.com,37340,6095
Addie Dainell Allen,TX,0.0,senate,2014,D,2,20141218224644,2,1,homepage,https://www.addiedallenforussenate2012.com,2386,28
Alan L Keyes,IL,0.0,senate,2014,R,2,20140828091715,6,37,homepage;news;other,https://www.keyes2004.com,159855,21210
William Mellard V Connor,SC,0.0,senate,2014,R,2,20140530014547,74,15,action;endorsements;homepage;issues;news;other,https://www.billconnorsc.com,77298,10980
Joseph Carvin,NY,0.0,senate,2014,R,2,20141018073017,14,11,homepage;other,https://www.carvin2012.com,9872,160
Elizabeth Warren,MA,0.0,senate,2014,D,2,20141021153105,36,5,homepage;other,https://elizabethwarren.com,16538,2254
Michael E Colonel Mccalister,FL,0.0,senate,2014,R,2,20140517223650,10,4,homepage;news;other,https://www.mikemccalisterforsenate.com,7065,856
Mark Handley Aspiri,CO,0.0,senate,2014,R,2,20140509013747,13,9,action;biography;constituent_services;homepage;other,https://www.aspiri.com,19542,2260
Cynthia Ann Dill,ME,0.0,senate,2014,D,2,20141216213005,1,1,homepage,https://www.cynthiadill.com,685,86
G Michael Fjetland,TX,0.0,senate,2014,D,2,20140109213600,17,4,action;homepage;other,https://www.fjetforsenate.com,13157,1696
Ole' Savior,MN,0.0,senate,2014,R,2,20140110133321,1,4,homepage;other,https://www.olesavior.org,6248,748
Michael D Crapo,ID,0.0,senate,2014,R,2,20141217031022,6,3,homepage;news;other,https://www.crapoforsenate.com,3065,480
Tommy G Thompson,WI,0.0,senate,2014,R,2,20141218103837,3,1,homepage,https://www.tommyforwisconsin.com,4692,515
Thomas R Carper,DE,0.0,senate,2014,D,2,20141217011231,2,1,homepage,https://www.carperfordelaware.com,436,57
Sharron E Angle,NV,0.0,senate,2014,R,2,20141229155415,14,1,homepage,https://sharronangle.com,1189,84
Sean Peter Hubbard,TX,0.0,senate,2014,D,2,20140105095510,2,1,homepage,https://www.hubbardforsenate.com,1397,176
Curtis Christopher Cleaver,TX,0.0,senate,2014,R,2,20140104093029,29,11,action;homepage;news;other,https://www.curtcleaver.com,15806,2127
Shak Hill,VA,0.0,senate,2014,R,2,20140410233754,39,10,biography;homepage;issues;news;other,https://shakhill.com,32796,4679
Mark W Neumann,WI,0.0,senate,2014,R,2,20140726215338,5,2,homepage;other,http://neumann2012.org/,24485,3787
Charles E Schumer,NY,0.0,senate,2014,D,2,20141031183453,12,1,homepage,http://www.chuckschumer.com,3924,465
Amy Klobuchar,MN,0.0,senate,2014,D,2,20141219020356,7,1,homepage,https://amyklobuchar.com,179,24
Richard J Cash,SC,0.0,senate,2014,R,2,20140207001055,41,15,action;homepage;issues;news;other,https://www.richardcashforsenate.com,54144,7901
Patrick J Leahy,VT,0.0,senate,2014,D,2,20141022014134,4,29,action;biography;homepage;issues;news;other,https://www.leahyforvermont.com,136463,18398
Milton Wolf,KS,0.0,senate,2014,R,2,20140731235238,45,14,action;biography;homepage;issues;news;other,https://miltonwolf.com,65852,9340
Christopher J Dodd,CT,0.0,senate,2014,D,2,20141217031312,19,1,homepage,https://www.chrisdodd.com,422,55
Mark Harris,NC,0.0,senate,2014,R,2,20140327234710,24,6,action;biography;homepage;news;other,http://markharrisforsenate.com,12316,1390
David Young,IA,3.0,senate,2014,R,2,20140522234438,109,10,action;biography;homepage;other,https://youngforiowa.com,24515,3390
John Hoeven,ND,0.0,senate,2014,R,2,20141217041345,5,1,homepage,https://www.hoevenforsenate.com,128,13
Erik Monroe Underwood,DE,0.0,senate,2014,D,2,20141219174001,1,2,homepage;other,https://erikunderwood.com,1076,132
Joe Manchin Iii,WV,0.0,senate,2014,D,2,20140413084500,8,12,homepage;issues;news;other,https://www.joemanchinwv.com,29457,4362
Lee Bright,SC,0.0,senate,2014,R,2,20140616051026,49,12,action;biography;homepage;issues;news;other,https://brightforsenate.com,124466,19429
Nick Latham,TX,0.0,senate,2014,R,2,20141217133115,3,1,homepage,https://lathamforsenate.com,101,11
Benjamin E Sasse,NE,0.0,senate,2014,R,2,20141111143253,1,4,homepage;other,https://www.teamsasse.com,7873,1034
Mark Lunsford Pryor,AR,0.0,senate,2014,D,2,20140829224007,65,33,biography;homepage;news;other,http://www.pryorforsenate.com,330744,47436
Marco Rubio,FL,0.0,senate,2014,R,2,20141220123404,13,1,homepage,https://www.marcorubio.com,889,123
James Paul Lankford,OK,0.0,senate,2014,R,2,20140417234402,124,36,action;biography;constituent_services;homepage;news;other,https://www.jameslankford.com,68080,8907
Karen Christine Handel,GA,0.0,senate,2014,R,2,20140417234038,31,1,homepage,https://www.karenhandel.com,807,77
Susan Bysiewicz,CT,0.0,senate,2014,D,2,20141017114926,1,2,homepage;other,https://www.susanforct.com,1625,184
Peter Lynn Ashdown,UT,0.0,senate,2014,D,2,20141218030209,10,56,homepage;news;other,http://peteashdown.org,400134,60834
Lakesha D Rogers,TX,0.0,senate,2014,D,2,20140529234005,27,12,action;homepage;other,https://www.kesharogers.com,76681,11279
Mitch Mcconnell,KY,0.0,senate,2014,R,2,20140606224009,59,2,homepage,https://teammitch.com,4608,583
Martha Coakley,MA,0.0,senate,2014,D,2,20140802051426,9,2,homepage;other,https://www.marthacoakley.com,5544,727
Jason Conger,OR,0.0,senate,2014,R,2,20140417233916,18,2,action;homepage,https://www.congerfororegon.com,4444,533
Corey C Stapleton,MT,0.0,senate,2014,R,2,20140131002826,58,2,homepage,https://www.coreystapleton.com,208,22
Sid Dinsdale,NE,0.0,senate,2014,R,2,20140424234220,29,6,action;endorsements;homepage;other,https://www.sidforsenate.com,9730,1005
Larry Robert Rhoden,SD,0.0,senate,2014,R,2,20140605234622,30,12,action;biography;homepage;issues;news;other,https://www.larryrhoden.com,26236,3606
John H Sr Rep Kingston,GA,0.0,senate,2014,R,2,20140516020311,33,16,action;biography;homepage;news;other,https://www.jackkingston.org,46847,5895
Reid David Reasor,TX,0.0,senate,2014,R,2,20141221223304,13,5,homepage,https://www.reasorforussenate.com,21445,3161
Amanda Curtis,MT,0.0,senate,2014,D,2,20140919232540,18,1,homepage,http://www.amandaformontana.com,1181,162
John Brunner,MO,0.0,senate,2014,R,2,20141217230345,11,7,biography;homepage;issues;news;other,https://www.johnbrunner.com,87727,14064
Richard C Shelby,AL,0.0,senate,2014,R,2,20141219151527,3,1,homepage,https://www.shelbyforsenate.com,1044,71
Andrew John Horne,KY,0.0,senate,2014,D,2,20141216193451,2,2,homepage;other,https://www.andrewhorne.org,245,23
J Mark Inman,MA,0.0,senate,2014,R,2,20140109212626,2,1,homepage,https://www.jmarkinman.com,88,14
Christopher S Mr Murphy,CT,0.0,senate,2014,D,2,20140408040927,12,15,homepage;issues;news;other,http://www.chrismurphy.com,69175,10453
Timothy Noel Aalders,UT,0.0,senate,2014,R,2,20140110160100,1,7,homepage;other,https://www.tim4senate.org,4417,454
Jeff Flake,AZ,0.0,senate,2014,R,2,20141217115902,8,11,homepage;news;other,http://www.jeffflake.com,30568,4437
Robert L Turner,NY,0.0,senate,2014,R,2,20140210030828,3,8,homepage,https://www.turnerforny.com,20821,121
Ronald Harold Johnson,WI,0.0,senate,2014,R,2,20141107020912,16,3,biography;homepage;news,https://ronjohnsonforsenate.com,9300,1346
Steve Pearce,NM,0.0,senate,2014,R,2,20141017224003,57,1,homepage,https://www.peopleforpearce.com,390,48
Jeffrey Bell,NJ,0.0,senate,2014,R,2,20140620224533,54,23,action;biography;homepage;issues;news;other,https://bell2014.com,56744,7905
Michael L Williams,TX,0.0,senate,2014,R,2,20140516075324,9,6,homepage;other,https://www.williamsfortexas.com,6291,51
Thomas A Coburn,OK,0.0,senate,2014,R,2,20141223081049,11,1,homepage,https://www.coburnforsenate.com,477,63
Robert Menendez,NJ,0.0,senate,2014,D,2,20141217124937,5,7,homepage;news;other,https://www.menendezfornj.com,27238,3773
Robert W Schaffer,CO,0.0,senate,2014,R,2,20141217013957,2,1,homepage,https://www.bobschafferforsenate.com,130,22
Lamar Alexander,TN,0.0,senate,2014,R,2,20140314000345,88,27,action;biography;homepage;news;other,https://www.lamaralexander.com,87815,10787
Jacob J Meister,IL,0.0,senate,2014,D,2,20141219233743,2,8,biography;homepage;other,http://www.meisterforsenate.com,50160,6879
Scott P Brown,MA,0.0,senate,2014,R,2,20140731235122,61,16,action;homepage;other,https://www.scottbrown.com,60532,8600
Robert P Jr Corker,TN,0.0,senate,2014,R,2,20141216213045,2,1,homepage,https://www.bobcorker.com,611,75
Randall C Brogdon,OK,0.0,senate,2014,R,2,20140620140211,8,19,action;biography;homepage;issues;other,https://www.randybrogdon.com,54979,7465
Joseph S Donnelly,IN,0.0,senate,2014,D,2,20141226005615,6,1,homepage,http://joeforindiana.com,355,45
Dan Liljenquist,UT,0.0,senate,2014,R,2,20141219051901,8,14,homepage;news;other,https://danforutah.com,55488,8522
Michael S Strimling,CA,0.0,senate,2014,D,2,20140208085317,1,1,homepage,https://taxtherich2012.org,4405,22
Jeffrey Alan Merkley,OR,0.0,senate,2014,D,2,20140926224041,89,3,homepage;other,https://www.jeffmerkley.com,14978,2118
Jane Bergman Norton,CO,0.0,senate,2014,R,2,20140714103339,4,1,homepage,http://janenortonforcolorado.com,255,25
Zachary Scott Poskevich,TN,0.0,senate,2014,R,2,20141218132821,2,1,homepage,https://zachforsenate.com,117,18
Robert Broadus,MD,0.0,senate,2014,R,2,20141223173708,6,13,homepage;other,https://www.justiceandliberty.us,133904,20929
Christopher Kevin Mapp,TX,0.0,senate,2014,R,2,20140228064503,6,6,homepage;other,https://mappforussenate.com,110898,18604
Mazie Mrs Hirono,HI,0.0,senate,2014,D,2,20141221081209,9,1,homepage,https://www.mazieforhawaii.com,11471,1599
Larry Klayman,FL,0.0,senate,2014,R,2,20141217143959,8,26,homepage;other,https://www.klaymansenate.com,59264,8159
Claire Mccaskill,MO,0.0,senate,2014,D,2,20140822045008,15,4,biography;homepage;news;other,http://www.clairemccaskill.com,39219,5862
Alieta Eck,NJ,0.0,senate,2014,R,2,20140109213015,6,13,homepage;other,https://www.eckforsenate.com,30800,4521
Andrew William Craig,OK,0.0,senate,2014,R,2,20141218122537,120,1,homepage,https://www.voteandycraig.com,631,52
Heather Anderson Grant,NC,0.0,senate,2014,R,2,20140123233620,18,4,action;homepage;other,https://heathergrantnc.com,5846,819
John E Walsh,MT,0.0,senate,2014,D,2,20140522234448,37,13,action;homepage;issues;news;other,https://www.johnwalsh2014.com,61805,9153
Joni K Ernst,IA,0.0,senate,2014,R,2,20141228183317,1,3,homepage;other,http://www.ernst.senate.gov/,23830,1959
Edward Espenett Case,HI,0.0,senate,2014,D,2,20141230124441,3,1,homepage,https://www.edcase.com,99,14
Richard Pezzullo,NJ,0.0,senate,2014,R,2,20140522234435,7,3,action;homepage,https://www.pezzullo.com,6319,855
John William (Jack) Conway,KY,0.0,senate,2014,D,2,20140107164507,1,9,action;homepage;issues;news;other,https://www.jackconway.org,19036,2445
Thomas James Kuna,IL,0.0,senate,2014,R,2,20140104012343,5,10,homepage;other,https://www.w-e-r-co.com,217757,31578
Patrick Joseph Toomey,PA,0.0,senate,2014,R,2,20140813125129,5,49,action;biography;homepage;news;other,https://www.toomeyforsenate.com,179304,24932
Jo Rae Perkins,OR,0.0,senate,2014,R,2,20140509014057,23,25,homepage;issues;news;other,https://perkinsforussenate.com,64506,8325
Harold Pavilack,SC,0.0,senate,2014,D,2,20141218043032,8,1,homepage,https://www.pavilackforussenate.com,1116,170
Michael B Enzi,WY,0.0,senate,2014,R,2,20140710233527,65,4,action;homepage;news,https://www.enziforwyoming.com,15588,1708
Michael Dr Ham,NM,0.0,senate,2014,D,2,20140102151907,1,1,homepage,https://www.drmichaelham.com,87,8
William Mcbride,FL,0.0,senate,2014,R,2,20141217122407,3,1,homepage,https://www.mcbrideforsenate.com,259,40
Sheila Oliver,NJ,0.0,senate,2014,D,2,20140509013758,26,7,action;biography;homepage;issues;news,http://sheilaoliver2013.com,21723,2840
Ken Salazar,CO,0.0,senate,2014,D,2,20141222110944,6,2,homepage,https://www.salazarforcolorado.com,9768,422
Al Franken,MN,0.0,senate,2014,D,2,20141028233240,368,33,action;biography;homepage;issues;news;other,http://www.alfranken.com,105762,14160
Julianne Ortman,MN,0.0,senate,2014,R,2,20140307010437,13,10,homepage;news;other,https://julianne.mn,43566,6431
Ernest Tyrone Reeves,NC,0.0,senate,2014,D,2,20141226210740,8,1,homepage,https://ernestreeves.com,7,1
Linda Lingle,HI,0.0,senate,2014,R,2,20141221200333,7,1,homepage,https://www.lingle2012.com,1642,244
Fredrick Phillip Rick Wilson,MI,0.0,senate,2014,R,2,20141218051738,2,2,homepage;other,https://rickwilsonforussenate.com,3098,355
Ronald L Wyden,OR,0.0,senate,2014,D,2,20140109004152,8,8,homepage;issues;other,https://www.standtallforamerica.com,34398,4939
Olympia J Snowe,ME,0.0,senate,2014,R,2,20141221194448,13,9,homepage,https://www.olympiaslist.org,70188,9353
Dan Winslow,MA,0.0,senate,2014,R,2,20141219041149,4,1,homepage,https://www.danwinslow.com,54,4
David Perdue,GA,0.0,senate,2014,R,2,20140130193754,7,4,homepage;other,https://www.perduesenate.com,3732,511
Randy L Baumgardner,CO,0.0,senate,2014,R,2,20141219021311,38,1,homepage,https://baumgardnerforussenate.com,131,4
Kay R Hagan,NC,0.0,senate,2014,D,2,20141030183002,145,24,action;biography;homepage;issues;news;other,http://www.kayhagan.com,72618,10109
Bartholomew L Mcleay,NE,0.0,senate,2014,R,2,20140522233721,23,7,action;biography;homepage;issues;news;other,https://bartmcleay.com,80663,11992
Peter David Schiff,CT,0.0,senate,2014,R,2,20141109004919,1,1,homepage,https://www.schiffforsenate.com,2955,481
Mike Lee,UT,0.0,senate,2014,R,2,20140716180338,15,1,homepage,https://leeforsenate.com,2368,303
Laurence Scott D'Amboise,ME,0.0,senate,2014,R,2,20140209194405,4,3,homepage;news;other,https://damboiseforsenate.com,2331,9
Mary Michelle Nunn,GA,0.0,senate,2014,D,2,20140613232819,50,3,homepage;other,https://www.michellenunn.com,11750,1500
Todd Anthony Robinson,GA,0.0,senate,2014,D,2,20141218090514,6,1,homepage,https://www.todd4senate.org,1670,253
Conrad Earl Reynolds,AR,0.0,senate,2014,R,2,20140529233840,22,2,action;homepage,https://www.voteconrad.com,6459,813
Ovide Marc Lamontagne,NH,0.0,senate,2014,R,2,20141218042409,1,1,homepage,https://www.ovide2010.com,452,58
Al Ramirez,CA,0.0,senate,2014,R,2,20141218224022,23,2,homepage;other,https://www.alramirez.com,1980,293
Arthur Augustine Gardner,GA,0.0,senate,2014,R,2,20140810013808,33,6,biography;homepage;issues;news;other,https://www.gardnersenate.com,16298,2351
Donna Karen Glisman,OH,0.0,senate,2014,R,2,20140330000323,2,1,homepage,https://www.voteglisman.com,56949,138
Timothy E Scott,SC,0.0,senate,2014,R,2,20140801224923,96,17,action;homepage;news;other,https://www.votetimscott.com,98640,14185
Frank Jr Pallone,NJ,0.0,senate,2014,D,2,20140620224626,29,4,homepage;other,https://www.pallonefornewjersey.com,18267,2693
James D Oberweis,IL,0.0,senate,2014,R,2,20140212003539,3,1,homepage,https://jimoberweis.com,2658,327
Ethan Book,CT,0.0,senate,2014,R,2,20141217093023,3,1,homepage,https://www.ethanbookforussenate.org,8896,1281
Campbell Cavasso,HI,0.0,senate,2014,R,2,20141216203200,33,28,action;homepage;news;other,https://www.camcavasso.com,80408,11141
Craig James,TX,0.0,senate,2014,R,2,20140209201120,1,1,homepage,https://www.texansforcraigjames.com,224,22
William John Lee,IL,0.0,senate,2014,R,2,20140417233928,2,9,homepage;other,https://williamlee2014.org,63538,8858
William Flynn,NC,0.0,senate,2014,R,2,20140124004348,21,13,biography;homepage;news;other,https://inwithflynn.com,38040,5545
Mark Allen Callahan,OR,0.0,senate,2014,R,2,20140109212904,3,4,homepage;other,http://www.markcallahan.net,17429,2158
Cheryle Jackson,IL,0.0,senate,2014,D,2,20141216222847,2,1,homepage,https://cheryle2010.com,3472,501
Cory Gardner,CO,0.0,senate,2014,R,2,20140210180118,2,1,homepage,https://www.corygardner.com,244,27
Rob Portman,OH,0.0,senate,2014,R,2,20140222173334,8,11,action;homepage;other,https://www.robportman.com,22947,3164
Douglas Lee Truax,IL,0.0,senate,2014,R,2,20140421172158,10,12,action;biography;homepage;issues;news;other,https://www.dougtruax.com,57144,8196
Natalie Tennant,WV,0.0,senate,2014,D,2,20140829224107,91,14,action;biography;homepage;issues;news;other,https://www.natalietennant.com,77508,10977
Eric D Hovde,WI,0.0,senate,2014,R,2,20141217065717,1,1,homepage,https://www.ericforsenate.com,370,49
David Carlson,MN,0.0,senate,2014,R,2,20140409054020,2,7,homepage;other,http://davidcarlsonusa.com,11903,1396
Jason Aaron Gibson,TX,0.0,senate,2014,D,2,20141217052508,2,4,homepage;other,https://www.gibsonforsenate.com,9937,1369
William Cassidy,LA,0.0,senate,2014,R,2,20140123234703,149,3,homepage;other,https://www.billcassidy.com,27677,3604
Jay Townsend,NY,0.0,senate,2014,R,2,20141224180008,4,9,homepage;news;other,https://www.townsendfornewyork.com,8931,106
Stephen F Lynch,MA,0.0,senate,2014,D,2,20141222003802,92,1,homepage,https://www.stephenflynch.com,1789,176
Josh Mandel,OH,0.0,senate,2014,R,2,20141026135742,18,4,homepage;other,https://joshmandel.com,13680,1989
Brad Klippert,WA,0.0,senate,2014,R,2,20141219101308,1,1,homepage,https://www.bradklippert.com,4325,633
Michael James Baumgartner,WA,0.0,senate,2014,R,2,20141107154759,8,29,action;homepage;news;other,https://www.votebaumgartner.com,88530,11291
Erick Paul Wyatt,OK,0.0,senate,2014,R,2,20140522233819,14,2,action;homepage,https://www.erickwyattforok.com,6722,901
Cory A Booker,NJ,0.0,senate,2014,D,2,20140102085320,109,5,homepage;other,https://www.corybooker.com,13551,1657
Joseph A Jr Sestak,PA,0.0,senate,2014,D,2,20140105133045,47,2,homepage;other,http://www.joesestak.com,4653,568
Lisa Murkowski,AK,0.0,senate,2014,R,2,20141217124213,8,1,homepage,https://www.lisamurkowski.com,2948,344
Susan M Collins,ME,0.0,senate,2014,R,2,20140228000720,84,11,action;homepage;news;other,https://www.susancollins.com,13568,1900
Daniel J Bongino,MD,0.0,senate,2014,R,2,20140822224031,80,11,action;biography;homepage;issues;other,https://www.bongino.com,49834,7374
Dick Zimmer,NJ,0.0,senate,2014,R,2,20140621173250,15,1,homepage,https://www.zimmerforsenate.com,662,93
Roger F Wicker,MS,0.0,senate,2014,R,2,20141218162056,3,4,action;homepage;other,https://www.wickerforsenate.com,13011,1801
Robert Lawerence Zadek,IL,0.0,senate,2014,R,2,20140208095426,1,1,homepage,https://www.robertzadek.com,637,101
Robert Kinloch Massie,MA,0.0,senate,2014,D,2,20141217014218,4,3,homepage;other,https://www.bobmassie.org,5635,821
Amy Stephens,CO,0.0,senate,2014,R,2,20140724233852,15,11,biography;homepage;issues;news;other,https://www.amyforcolorado.com,64850,9462
Shane Osborn,NE,0.0,senate,2014,R,2,20140516022010,28,50,homepage;other,https://www.shaneosborn.com,149508,20368
Kirsten Elizabeth Gillibrand,NY,0.0,senate,2014,D,2,20141220034409,14,1,homepage,https://www.kirstengillibrand.com,297,43
Charles Bradley Hutto,SC,0.0,senate,2014,D,2,20140522234457,41,8,homepage;issues;news;other,https://www.bradhutto.com,14968,2216
Dave Mccoy,NC,0.0,senate,2014,D,2,20141116050222,2,1,homepage,https://www.mccoy2016.com,4086,603
David Christian,PA,0.0,senate,2014,R,2,20140517061814,1,20,homepage;news;other,https://www.christian2012.org,139633,22239
Anthony Detora,VA,0.0,senate,2014,R,2,20141104164834,27,13,action;homepage;issues;other,https://www.tonydetora.com,17873,2598
Lindsey Olin Graham,SC,0.0,senate,2014,R,2,20140529233846,91,12,homepage;news;other,https://www.lindseygraham.com,63199,8619
John Boozman,AR,0.0,senate,2014,R,2,20140518230404,5,16,action;biography;homepage;news;other,https://www.boozmanforarkansas.com,53577,7319
John Jeffrey Lyon,AZ,0.0,senate,2014,R,2,20140104183610,3,2,homepage;other,http://johnlyonforsenate.com,4268,72
Maurice Ferre,FL,0.0,senate,2014,D,2,20141217100322,3,5,homepage;other,https://www.ferre2010.com,3770,51
Richard Joel Noriega,TX,0.0,senate,2014,D,2,20140515232449,5,30,homepage;news;other,https://www.ricknoriega.com,125639,19693
Ollisteen (Steen) Miles,GA,0.0,senate,2014,D,2,20141102183127,46,7,homepage;other,https://steenmilesussenate.com,51676,8590
J Phillip Gingrey,GA,0.0,senate,2014,R,2,20140714090614,24,25,biography;homepage;issues;news;other,https://www.gingrey.com,81551,11125
David B Wamsley,WV,0.0,senate,2014,D,2,20140406234704,4,14,homepage;other,https://wamsleyforsenate.com,74062,9904
Paul B Hollis,LA,0.0,senate,2014,R,2,20140104094030,1,6,homepage;issues;other,https://www.paulhollis.com,7240,982
Mark M Jacobs,IA,0.0,senate,2014,R,2,20140522234419,27,28,action;biography;homepage;issues;news;other,https://www.jacobsforiowa.com,233251,35670
Patty Murray,WA,0.0,senate,2014,D,2,20141221035654,9,2,action;homepage,https://www.pattymurray.com,394,49
David Barton Haley,KS,0.0,senate,2014,D,2,20141219163452,3,1,homepage,https://haleyforsenate.com,2566,362
Kurt Patrick Bills,MN,0.0,senate,2014,R,2,20140717044655,4,1,homepage,https://www.kurtbills.com,259,40
Curtis Coleman,AR,0.0,senate,2014,R,2,20141104033320,11,3,action;homepage;other,http://curtiscoleman.com,6416,743
Jeremy Michael Stamper,SC,0.0,senate,2014,D,2,20140328010111,30,27,action;biography;homepage;news;other,https://www.jaystamper.com,60315,7801
Mark E Udall,CO,0.0,senate,2014,D,2,20141017224206,80,15,biography;homepage;issues;news;other,https://www.markudall.com,61569,8878
Nancy Mace,SC,0.0,senate,2014,R,2,20140911111633,3,17,biography;homepage;news;other,http://www.nancymace.org,57463,7864
H Brooke Paige,VT,0.0,senate,2014,R,2,20141217030259,6,11,homepage;other,https://www.brookepaige.us,115726,13524
Jim Rubens,NH,0.0,senate,2014,R,2,20140318174025,49,14,homepage;other,https://jimrubens.com,67216,9198
Bruce L Poliquin,ME,0.0,senate,2014,R,2,20140605234615,64,27,action;homepage;issues;news;other,https://www.poliquinforcongress.com,121578,16897
Matthew George Whitaker,IA,0.0,senate,2014,R,2,20140110011245,5,1,homepage,https://www.mattwhitaker.org,1590,186
Scott N Howell,UT,0.0,senate,2014,D,2,20140110043401,2,22,action;biography;endorsements;homepage;issues;news;other,https://votescotthowell.com,81127,10818
Thomas H Jr Kean,NJ,0.0,senate,2014,R,2,20141218070638,4,10,biography;homepage;issues;news;other,https://www.tomkean.com,20664,2570
Dean Heller,NV,0.0,senate,2014,R,2,20141217025902,5,12,action;biography;homepage;issues;news;other,https://www.deanheller.com,47354,6294
Gary Peters,MI,0.0,senate,2014,D,2,20140612235122,40,27,action;homepage;issues;news;other,http://www.petersformichigan.com,156078,22086
Charles E Hardy,WY,0.0,senate,2014,D,2,20140828233549,14,17,homepage,https://www.runwithcharlie2014.com,56987,7823
Phillip Charles Parrish,MN,0.0,senate,2014,R,2,20140829002223,41,20,action;biography;homepage;issues;news;other,https://phillipcparrish.com,101171,13215
Charles Edward Moss,VA,0.0,senate,2014,R,2,20141223130516,29,4,homepage;other,https://www.mossforva.com,8181,884
Allen Weh,NM,0.0,senate,2014,R,2,20140201204159,32,30,action;homepage;issues;news;other,https://www.allenweh.com,89820,12199
Tammy Baldwin,WI,0.0,senate,2014,D,2,20140516104216,31,27,biography;homepage;issues;news;other,https://www.tammybaldwin.com,62109,7500
Sue Lowden,NV,0.0,senate,2014,R,2,20140703120849,4,1,homepage,https://www.suelowden.com,1234,160
C Saxby Chambliss,GA,0.0,senate,2014,R,2,20141218021713,4,5,homepage;other,https://www.saxby.org,2731,347
James M Inhofe,OK,0.0,senate,2014,R,2,20140627032526,60,1,homepage,https://www.jiminhofe.com,2672,353
Mead Treadwell,AK,0.0,senate,2014,R,2,20140704002730,54,1,homepage,https://www.treadwellalaska.com,849,82
Brian Herr,MA,0.0,senate,2014,R,2,20140926000105,21,9,action;biography;homepage;issues;news;other,https://www.brianherr.com,25223,3537
Jack F Reed,RI,0.0,senate,2014,D,2,20140517090058,2,10,homepage;other,https://www.jackreed.com,24521,3777
Christopher A Coons,DE,0.0,senate,2014,D,2,20140911233553,78,12,action;biography;homepage;other,http://www.chriscoons.com,33838,4426
Frank R Lautenberg,NJ,0.0,senate,2014,D,2,20141220115210,3,1,homepage,https://www.lautenbergfornj.com,2222,309
